Regiao,UF,Area,Ano,Quantidade
Norte,AC,Ciências agrárias,1996,0
Norte,AC,Ciências agrárias,1997,0
Norte,AC,Ciências agrárias,1998,0
Norte,AC,Ciências agrárias,1999,0
Norte,AC,Ciências agrárias,2000,0
Norte,AC,Ciências agrárias,2001,0
Norte,AC,Ciências agrárias,2002,0
Norte,AC,Ciências agrárias,2003,0
Norte,AC,Ciências agrárias,2004,0
Norte,AC,Ciências agrárias,2005,0
Norte,AC,Ciências agrárias,2006,0
Norte,AC,Ciências agrárias,2007,0
Norte,AC,Ciências agrárias,2008,0
Norte,AC,Ciências agrárias,2009,0
Norte,AC,Ciências agrárias,2010,0
Norte,AC,Ciências agrárias,2011,0
Norte,AC,Ciências agrárias,2012,0
Norte,AC,Ciências agrárias,2013,1
Norte,AC,Ciências agrárias,2014,1
Norte,AC,Ciências agrárias,2015,2
Norte,AC,Ciências agrárias,2016,2
Norte,AC,Ciências agrárias,2017,2
Norte,AC,Ciências biológicas,1996,0
Norte,AC,Ciências biológicas,1997,0
Norte,AC,Ciências biológicas,1998,0
Norte,AC,Ciências biológicas,1999,0
Norte,AC,Ciências biológicas,2000,0
Norte,AC,Ciências biológicas,2001,0
Norte,AC,Ciências biológicas,2002,0
Norte,AC,Ciências biológicas,2003,0
Norte,AC,Ciências biológicas,2004,0
Norte,AC,Ciências biológicas,2005,0
Norte,AC,Ciências biológicas,2006,0
Norte,AC,Ciências biológicas,2007,0
Norte,AC,Ciências biológicas,2008,0
Norte,AC,Ciências biológicas,2009,0
Norte,AC,Ciências biológicas,2010,0
Norte,AC,Ciências biológicas,2011,0
Norte,AC,Ciências biológicas,2012,0
Norte,AC,Ciências biológicas,2013,0
Norte,AC,Ciências biológicas,2014,0
Norte,AC,Ciências biológicas,2015,0
Norte,AC,Ciências biológicas,2016,0
Norte,AC,Ciências biológicas,2017,0
Norte,AC,Ciências da saúde,1996,0
Norte,AC,Ciências da saúde,1997,0
Norte,AC,Ciências da saúde,1998,0
Norte,AC,Ciências da saúde,1999,0
Norte,AC,Ciências da saúde,2000,0
Norte,AC,Ciências da saúde,2001,0
Norte,AC,Ciências da saúde,2002,0
Norte,AC,Ciências da saúde,2003,0
Norte,AC,Ciências da saúde,2004,0
Norte,AC,Ciências da saúde,2005,0
Norte,AC,Ciências da saúde,2006,0
Norte,AC,Ciências da saúde,2007,0
Norte,AC,Ciências da saúde,2008,0
Norte,AC,Ciências da saúde,2009,0
Norte,AC,Ciências da saúde,2010,0
Norte,AC,Ciências da saúde,2011,0
Norte,AC,Ciências da saúde,2012,0
Norte,AC,Ciências da saúde,2013,0
Norte,AC,Ciências da saúde,2014,1
Norte,AC,Ciências da saúde,2015,1
Norte,AC,Ciências da saúde,2016,1
Norte,AC,Ciências da saúde,2017,1
Norte,AC,Ciências exatas e da terra,1996,0
Norte,AC,Ciências exatas e da terra,1997,0
Norte,AC,Ciências exatas e da terra,1998,0
Norte,AC,Ciências exatas e da terra,1999,0
Norte,AC,Ciências exatas e da terra,2000,0
Norte,AC,Ciências exatas e da terra,2001,0
Norte,AC,Ciências exatas e da terra,2002,0
Norte,AC,Ciências exatas e da terra,2003,0
Norte,AC,Ciências exatas e da terra,2004,0
Norte,AC,Ciências exatas e da terra,2005,0
Norte,AC,Ciências exatas e da terra,2006,0
Norte,AC,Ciências exatas e da terra,2007,0
Norte,AC,Ciências exatas e da terra,2008,0
Norte,AC,Ciências exatas e da terra,2009,0
Norte,AC,Ciências exatas e da terra,2010,0
Norte,AC,Ciências exatas e da terra,2011,0
Norte,AC,Ciências exatas e da terra,2012,0
Norte,AC,Ciências exatas e da terra,2013,0
Norte,AC,Ciências exatas e da terra,2014,0
Norte,AC,Ciências exatas e da terra,2015,0
Norte,AC,Ciências exatas e da terra,2016,0
Norte,AC,Ciências exatas e da terra,2017,0
Norte,AC,Ciências humanas,1996,0
Norte,AC,Ciências humanas,1997,0
Norte,AC,Ciências humanas,1998,0
Norte,AC,Ciências humanas,1999,0
Norte,AC,Ciências humanas,2000,0
Norte,AC,Ciências humanas,2001,0
Norte,AC,Ciências humanas,2002,0
Norte,AC,Ciências humanas,2003,0
Norte,AC,Ciências humanas,2004,0
Norte,AC,Ciências humanas,2005,0
Norte,AC,Ciências humanas,2006,0
Norte,AC,Ciências humanas,2007,0
Norte,AC,Ciências humanas,2008,0
Norte,AC,Ciências humanas,2009,0
Norte,AC,Ciências humanas,2010,0
Norte,AC,Ciências humanas,2011,0
Norte,AC,Ciências humanas,2012,0
Norte,AC,Ciências humanas,2013,0
Norte,AC,Ciências humanas,2014,0
Norte,AC,Ciências humanas,2015,0
Norte,AC,Ciências humanas,2016,0
Norte,AC,Ciências humanas,2017,0
Norte,AC,Ciências sociais aplicadas,1996,0
Norte,AC,Ciências sociais aplicadas,1997,0
Norte,AC,Ciências sociais aplicadas,1998,0
Norte,AC,Ciências sociais aplicadas,1999,0
Norte,AC,Ciências sociais aplicadas,2000,0
Norte,AC,Ciências sociais aplicadas,2001,0
Norte,AC,Ciências sociais aplicadas,2002,0
Norte,AC,Ciências sociais aplicadas,2003,0
Norte,AC,Ciências sociais aplicadas,2004,0
Norte,AC,Ciências sociais aplicadas,2005,0
Norte,AC,Ciências sociais aplicadas,2006,0
Norte,AC,Ciências sociais aplicadas,2007,0
Norte,AC,Ciências sociais aplicadas,2008,0
Norte,AC,Ciências sociais aplicadas,2009,0
Norte,AC,Ciências sociais aplicadas,2010,0
Norte,AC,Ciências sociais aplicadas,2011,0
Norte,AC,Ciências sociais aplicadas,2012,0
Norte,AC,Ciências sociais aplicadas,2013,0
Norte,AC,Ciências sociais aplicadas,2014,0
Norte,AC,Ciências sociais aplicadas,2015,0
Norte,AC,Ciências sociais aplicadas,2016,0
Norte,AC,Ciências sociais aplicadas,2017,0
Norte,AC,Engenharias,1996,0
Norte,AC,Engenharias,1997,0
Norte,AC,Engenharias,1998,0
Norte,AC,Engenharias,1999,0
Norte,AC,Engenharias,2000,0
Norte,AC,Engenharias,2001,0
Norte,AC,Engenharias,2002,0
Norte,AC,Engenharias,2003,0
Norte,AC,Engenharias,2004,0
Norte,AC,Engenharias,2005,0
Norte,AC,Engenharias,2006,0
Norte,AC,Engenharias,2007,0
Norte,AC,Engenharias,2008,0
Norte,AC,Engenharias,2009,0
Norte,AC,Engenharias,2010,0
Norte,AC,Engenharias,2011,0
Norte,AC,Engenharias,2012,0
Norte,AC,Engenharias,2013,0
Norte,AC,Engenharias,2014,0
Norte,AC,Engenharias,2015,0
Norte,AC,Engenharias,2016,0
Norte,AC,Engenharias,2017,0
Norte,AC,"Linguística, letras e artes",1996,0
Norte,AC,"Linguística, letras e artes",1997,0
Norte,AC,"Linguística, letras e artes",1998,0
Norte,AC,"Linguística, letras e artes",1999,0
Norte,AC,"Linguística, letras e artes",2000,0
Norte,AC,"Linguística, letras e artes",2001,0
Norte,AC,"Linguística, letras e artes",2002,0
Norte,AC,"Linguística, letras e artes",2003,0
Norte,AC,"Linguística, letras e artes",2004,0
Norte,AC,"Linguística, letras e artes",2005,0
Norte,AC,"Linguística, letras e artes",2006,0
Norte,AC,"Linguística, letras e artes",2007,0
Norte,AC,"Linguística, letras e artes",2008,0
Norte,AC,"Linguística, letras e artes",2009,0
Norte,AC,"Linguística, letras e artes",2010,0
Norte,AC,"Linguística, letras e artes",2011,0
Norte,AC,"Linguística, letras e artes",2012,0
Norte,AC,"Linguística, letras e artes",2013,0
Norte,AC,"Linguística, letras e artes",2014,0
Norte,AC,"Linguística, letras e artes",2015,0
Norte,AC,"Linguística, letras e artes",2016,0
Norte,AC,"Linguística, letras e artes",2017,0
Norte,AC,Multidisciplinar,1996,0
Norte,AC,Multidisciplinar,1997,0
Norte,AC,Multidisciplinar,1998,0
Norte,AC,Multidisciplinar,1999,0
Norte,AC,Multidisciplinar,2000,0
Norte,AC,Multidisciplinar,2001,0
Norte,AC,Multidisciplinar,2002,0
Norte,AC,Multidisciplinar,2003,0
Norte,AC,Multidisciplinar,2004,0
Norte,AC,Multidisciplinar,2005,0
Norte,AC,Multidisciplinar,2006,0
Norte,AC,Multidisciplinar,2007,0
Norte,AC,Multidisciplinar,2008,0
Norte,AC,Multidisciplinar,2009,0
Norte,AC,Multidisciplinar,2010,0
Norte,AC,Multidisciplinar,2011,0
Norte,AC,Multidisciplinar,2012,0
Norte,AC,Multidisciplinar,2013,0
Norte,AC,Multidisciplinar,2014,0
Norte,AC,Multidisciplinar,2015,0
Norte,AC,Multidisciplinar,2016,0
Norte,AC,Multidisciplinar,2017,0
Norte,AP,Ciências agrárias,1996,0
Norte,AP,Ciências agrárias,1997,0
Norte,AP,Ciências agrárias,1998,0
Norte,AP,Ciências agrárias,1999,0
Norte,AP,Ciências agrárias,2000,0
Norte,AP,Ciências agrárias,2001,0
Norte,AP,Ciências agrárias,2002,0
Norte,AP,Ciências agrárias,2003,0
Norte,AP,Ciências agrárias,2004,0
Norte,AP,Ciências agrárias,2005,0
Norte,AP,Ciências agrárias,2006,0
Norte,AP,Ciências agrárias,2007,0
Norte,AP,Ciências agrárias,2008,0
Norte,AP,Ciências agrárias,2009,0
Norte,AP,Ciências agrárias,2010,0
Norte,AP,Ciências agrárias,2011,0
Norte,AP,Ciências agrárias,2012,0
Norte,AP,Ciências agrárias,2013,0
Norte,AP,Ciências agrárias,2014,0
Norte,AP,Ciências agrárias,2015,0
Norte,AP,Ciências agrárias,2016,0
Norte,AP,Ciências agrárias,2017,0
Norte,AP,Ciências biológicas,1996,0
Norte,AP,Ciências biológicas,1997,0
Norte,AP,Ciências biológicas,1998,0
Norte,AP,Ciências biológicas,1999,0
Norte,AP,Ciências biológicas,2000,0
Norte,AP,Ciências biológicas,2001,0
Norte,AP,Ciências biológicas,2002,0
Norte,AP,Ciências biológicas,2003,0
Norte,AP,Ciências biológicas,2004,0
Norte,AP,Ciências biológicas,2005,0
Norte,AP,Ciências biológicas,2006,1
Norte,AP,Ciências biológicas,2007,1
Norte,AP,Ciências biológicas,2008,1
Norte,AP,Ciências biológicas,2009,1
Norte,AP,Ciências biológicas,2010,1
Norte,AP,Ciências biológicas,2011,1
Norte,AP,Ciências biológicas,2012,1
Norte,AP,Ciências biológicas,2013,1
Norte,AP,Ciências biológicas,2014,1
Norte,AP,Ciências biológicas,2015,1
Norte,AP,Ciências biológicas,2016,1
Norte,AP,Ciências biológicas,2017,1
Norte,AP,Ciências da saúde,1996,0
Norte,AP,Ciências da saúde,1997,0
Norte,AP,Ciências da saúde,1998,0
Norte,AP,Ciências da saúde,1999,0
Norte,AP,Ciências da saúde,2000,0
Norte,AP,Ciências da saúde,2001,0
Norte,AP,Ciências da saúde,2002,0
Norte,AP,Ciências da saúde,2003,0
Norte,AP,Ciências da saúde,2004,0
Norte,AP,Ciências da saúde,2005,0
Norte,AP,Ciências da saúde,2006,0
Norte,AP,Ciências da saúde,2007,0
Norte,AP,Ciências da saúde,2008,0
Norte,AP,Ciências da saúde,2009,0
Norte,AP,Ciências da saúde,2010,0
Norte,AP,Ciências da saúde,2011,0
Norte,AP,Ciências da saúde,2012,0
Norte,AP,Ciências da saúde,2013,0
Norte,AP,Ciências da saúde,2014,0
Norte,AP,Ciências da saúde,2015,0
Norte,AP,Ciências da saúde,2016,0
Norte,AP,Ciências da saúde,2017,0
Norte,AP,Ciências exatas e da terra,1996,0
Norte,AP,Ciências exatas e da terra,1997,0
Norte,AP,Ciências exatas e da terra,1998,0
Norte,AP,Ciências exatas e da terra,1999,0
Norte,AP,Ciências exatas e da terra,2000,0
Norte,AP,Ciências exatas e da terra,2001,0
Norte,AP,Ciências exatas e da terra,2002,0
Norte,AP,Ciências exatas e da terra,2003,0
Norte,AP,Ciências exatas e da terra,2004,0
Norte,AP,Ciências exatas e da terra,2005,0
Norte,AP,Ciências exatas e da terra,2006,0
Norte,AP,Ciências exatas e da terra,2007,0
Norte,AP,Ciências exatas e da terra,2008,0
Norte,AP,Ciências exatas e da terra,2009,0
Norte,AP,Ciências exatas e da terra,2010,0
Norte,AP,Ciências exatas e da terra,2011,0
Norte,AP,Ciências exatas e da terra,2012,0
Norte,AP,Ciências exatas e da terra,2013,0
Norte,AP,Ciências exatas e da terra,2014,0
Norte,AP,Ciências exatas e da terra,2015,0
Norte,AP,Ciências exatas e da terra,2016,0
Norte,AP,Ciências exatas e da terra,2017,0
Norte,AP,Ciências humanas,1996,0
Norte,AP,Ciências humanas,1997,0
Norte,AP,Ciências humanas,1998,0
Norte,AP,Ciências humanas,1999,0
Norte,AP,Ciências humanas,2000,0
Norte,AP,Ciências humanas,2001,0
Norte,AP,Ciências humanas,2002,0
Norte,AP,Ciências humanas,2003,0
Norte,AP,Ciências humanas,2004,0
Norte,AP,Ciências humanas,2005,0
Norte,AP,Ciências humanas,2006,0
Norte,AP,Ciências humanas,2007,0
Norte,AP,Ciências humanas,2008,0
Norte,AP,Ciências humanas,2009,0
Norte,AP,Ciências humanas,2010,0
Norte,AP,Ciências humanas,2011,0
Norte,AP,Ciências humanas,2012,0
Norte,AP,Ciências humanas,2013,0
Norte,AP,Ciências humanas,2014,0
Norte,AP,Ciências humanas,2015,0
Norte,AP,Ciências humanas,2016,0
Norte,AP,Ciências humanas,2017,0
Norte,AP,Ciências sociais aplicadas,1996,0
Norte,AP,Ciências sociais aplicadas,1997,0
Norte,AP,Ciências sociais aplicadas,1998,0
Norte,AP,Ciências sociais aplicadas,1999,0
Norte,AP,Ciências sociais aplicadas,2000,0
Norte,AP,Ciências sociais aplicadas,2001,0
Norte,AP,Ciências sociais aplicadas,2002,0
