Regiao,UF,Area,Ano,Quantidade,
Norte,AC,Ciências agrárias,1996,0,
Norte,AC,Ciências agrárias,1997,0,
Norte,AC,Ciências agrárias,1998,0,
Norte,AC,Ciências agrárias,1999,0,
Norte,AC,Ciências agrárias,2000,0,
Norte,AC,Ciências agrárias,2001,0,
Norte,AC,Ciências agrárias,2002,0,
Norte,AC,Ciências agrárias,2003,0,
Norte,AC,Ciências agrárias,2004,0,
Norte,AC,Ciências agrárias,2005,0,
Norte,AC,Ciências agrárias,2006,0,
Norte,AC,Ciências agrárias,2007,0,
Norte,AC,Ciências agrárias,2008,10,
Norte,AC,Ciências agrárias,2009,12,
Norte,AC,Ciências agrárias,2010,15,
Norte,AC,Ciências agrárias,2011,13,
Norte,AC,Ciências agrárias,2012,16,
Norte,AC,Ciências agrárias,2013,10,
Norte,AC,Ciências agrárias,2014,13,
Norte,AC,Ciências agrárias,2015,10,
Norte,AC,Ciências agrárias,2016,24,
Norte,AC,Ciências agrárias,2017,27,
Norte,AC,Ciências biológicas,1996,0,
Norte,AC,Ciências biológicas,1997,0,
Norte,AC,Ciências biológicas,1998,0,
Norte,AC,Ciências biológicas,1999,0,
Norte,AC,Ciências biológicas,2000,0,
Norte,AC,Ciências biológicas,2001,0,
Norte,AC,Ciências biológicas,2002,0,
Norte,AC,Ciências biológicas,2003,6,
Norte,AC,Ciências biológicas,2004,3,
Norte,AC,Ciências biológicas,2005,13,
Norte,AC,Ciências biológicas,2006,11,
Norte,AC,Ciências biológicas,2007,5,
Norte,AC,Ciências biológicas,2008,8,
Norte,AC,Ciências biológicas,2009,9,
Norte,AC,Ciências biológicas,2010,11,
Norte,AC,Ciências biológicas,2011,8,
Norte,AC,Ciências biológicas,2012,3,
Norte,AC,Ciências biológicas,2013,9,
Norte,AC,Ciências biológicas,2014,11,
Norte,AC,Ciências biológicas,2015,7,
Norte,AC,Ciências biológicas,2016,6,
Norte,AC,Ciências biológicas,2017,5,
Norte,AC,Ciências da saúde,1996,0,
Norte,AC,Ciências da saúde,1997,0,
Norte,AC,Ciências da saúde,1998,0,
Norte,AC,Ciências da saúde,1999,0,
Norte,AC,Ciências da saúde,2000,0,
Norte,AC,Ciências da saúde,2001,0,
Norte,AC,Ciências da saúde,2002,0,
Norte,AC,Ciências da saúde,2003,0,
Norte,AC,Ciências da saúde,2004,0,
Norte,AC,Ciências da saúde,2005,0,
Norte,AC,Ciências da saúde,2006,0,
Norte,AC,Ciências da saúde,2007,0,
Norte,AC,Ciências da saúde,2008,0,
Norte,AC,Ciências da saúde,2009,12,
Norte,AC,Ciências da saúde,2010,3,
Norte,AC,Ciências da saúde,2011,0,
Norte,AC,Ciências da saúde,2012,13,
Norte,AC,Ciências da saúde,2013,1,
Norte,AC,Ciências da saúde,2014,10,
Norte,AC,Ciências da saúde,2015,0,
Norte,AC,Ciências da saúde,2016,12,
Norte,AC,Ciências da saúde,2017,4,
Norte,AC,Ciências exatas e da terra,1996,0,
Norte,AC,Ciências exatas e da terra,1997,0,
Norte,AC,Ciências exatas e da terra,1998,0,
Norte,AC,Ciências exatas e da terra,1999,0,
Norte,AC,Ciências exatas e da terra,2000,0,
Norte,AC,Ciências exatas e da terra,2001,0,
Norte,AC,Ciências exatas e da terra,2002,0,
Norte,AC,Ciências exatas e da terra,2003,0,
Norte,AC,Ciências exatas e da terra,2004,0,
Norte,AC,Ciências exatas e da terra,2005,0,
Norte,AC,Ciências exatas e da terra,2006,0,
Norte,AC,Ciências exatas e da terra,2007,0,
Norte,AC,Ciências exatas e da terra,2008,0,
Norte,AC,Ciências exatas e da terra,2009,0,
Norte,AC,Ciências exatas e da terra,2010,0,
Norte,AC,Ciências exatas e da terra,2011,0,
Norte,AC,Ciências exatas e da terra,2012,0,
Norte,AC,Ciências exatas e da terra,2013,0,
Norte,AC,Ciências exatas e da terra,2014,4,
Norte,AC,Ciências exatas e da terra,2015,16,
Norte,AC,Ciências exatas e da terra,2016,3,
Norte,AC,Ciências exatas e da terra,2017,6,
Norte,AC,Ciências humanas,1996,0,
Norte,AC,Ciências humanas,1997,0,
Norte,AC,Ciências humanas,1998,0,
Norte,AC,Ciências humanas,1999,0,
Norte,AC,Ciências humanas,2000,0,
Norte,AC,Ciências humanas,2001,0,
Norte,AC,Ciências humanas,2002,0,
Norte,AC,Ciências humanas,2003,0,
Norte,AC,Ciências humanas,2004,0,
Norte,AC,Ciências humanas,2005,0,
Norte,AC,Ciências humanas,2006,0,
Norte,AC,Ciências humanas,2007,0,
Norte,AC,Ciências humanas,2008,0,
Norte,AC,Ciências humanas,2009,0,
Norte,AC,Ciências humanas,2010,0,
Norte,AC,Ciências humanas,2011,0,
Norte,AC,Ciências humanas,2012,0,
Norte,AC,Ciências humanas,2013,0,
Norte,AC,Ciências humanas,2014,0,
Norte,AC,Ciências humanas,2015,0,
Norte,AC,Ciências humanas,2016,19,
Norte,AC,Ciências humanas,2017,22,
Norte,AC,Ciências sociais aplicadas,1996,0,
Norte,AC,Ciências sociais aplicadas,1997,0,
Norte,AC,Ciências sociais aplicadas,1998,0,
Norte,AC,Ciências sociais aplicadas,1999,0,
Norte,AC,Ciências sociais aplicadas,2000,0,
Norte,AC,Ciências sociais aplicadas,2001,0,
Norte,AC,Ciências sociais aplicadas,2002,0,
Norte,AC,Ciências sociais aplicadas,2003,0,
Norte,AC,Ciências sociais aplicadas,2004,0,
Norte,AC,Ciências sociais aplicadas,2005,0,
Norte,AC,Ciências sociais aplicadas,2006,0,
Norte,AC,Ciências sociais aplicadas,2007,0,
Norte,AC,Ciências sociais aplicadas,2008,0,
Norte,AC,Ciências sociais aplicadas,2009,0,
Norte,AC,Ciências sociais aplicadas,2010,0,
Norte,AC,Ciências sociais aplicadas,2011,0,
Norte,AC,Ciências sociais aplicadas,2012,0,
Norte,AC,Ciências sociais aplicadas,2013,0,
Norte,AC,Ciências sociais aplicadas,2014,0,
Norte,AC,Ciências sociais aplicadas,2015,0,
Norte,AC,Ciências sociais aplicadas,2016,0,
Norte,AC,Ciências sociais aplicadas,2017,0,
Norte,AC,Engenharias,1996,0,
Norte,AC,Engenharias,1997,0,
Norte,AC,Engenharias,1998,0,
Norte,AC,Engenharias,1999,0,
Norte,AC,Engenharias,2000,0,
Norte,AC,Engenharias,2001,0,
Norte,AC,Engenharias,2002,0,
Norte,AC,Engenharias,2003,0,
Norte,AC,Engenharias,2004,0,
Norte,AC,Engenharias,2005,0,
Norte,AC,Engenharias,2006,0,
Norte,AC,Engenharias,2007,0,
Norte,AC,Engenharias,2008,0,
Norte,AC,Engenharias,2009,0,
Norte,AC,Engenharias,2010,0,
Norte,AC,Engenharias,2011,0,
Norte,AC,Engenharias,2012,0,
Norte,AC,Engenharias,2013,0,
Norte,AC,Engenharias,2014,0,
Norte,AC,Engenharias,2015,0,
Norte,AC,Engenharias,2016,0,
Norte,AC,Engenharias,2017,0,
Norte,AC,"Linguística, letras e artes",1996,0,
Norte,AC,"Linguística, letras e artes",1997,0,
Norte,AC,"Linguística, letras e artes",1998,0,
Norte,AC,"Linguística, letras e artes",1999,0,
Norte,AC,"Linguística, letras e artes",2000,0,
Norte,AC,"Linguística, letras e artes",2001,0,
Norte,AC,"Linguística, letras e artes",2002,0,
Norte,AC,"Linguística, letras e artes",2003,0,
Norte,AC,"Linguística, letras e artes",2004,0,
Norte,AC,"Linguística, letras e artes",2005,0,
Norte,AC,"Linguística, letras e artes",2006,0,
Norte,AC,"Linguística, letras e artes",2007,0,
Norte,AC,"Linguística, letras e artes",2008,13,
Norte,AC,"Linguística, letras e artes",2009,8,
Norte,AC,"Linguística, letras e artes",2010,18,
Norte,AC,"Linguística, letras e artes",2011,27,
Norte,AC,"Linguística, letras e artes",2012,11,
Norte,AC,"Linguística, letras e artes",2013,26,
Norte,AC,"Linguística, letras e artes",2014,12,
Norte,AC,"Linguística, letras e artes",2015,27,
Norte,AC,"Linguística, letras e artes",2016,27,
Norte,AC,"Linguística, letras e artes",2017,32,
Norte,AC,Multidisciplinar,1996,0,
Norte,AC,Multidisciplinar,1997,0,
Norte,AC,Multidisciplinar,1998,0,
Norte,AC,Multidisciplinar,1999,0,
Norte,AC,Multidisciplinar,2000,0,
Norte,AC,Multidisciplinar,2001,0,
Norte,AC,Multidisciplinar,2002,0,
Norte,AC,Multidisciplinar,2003,0,
Norte,AC,Multidisciplinar,2004,0,
Norte,AC,Multidisciplinar,2005,0,
Norte,AC,Multidisciplinar,2006,0,
Norte,AC,Multidisciplinar,2007,1,
Norte,AC,Multidisciplinar,2008,22,
Norte,AC,Multidisciplinar,2009,15,
Norte,AC,Multidisciplinar,2010,11,
Norte,AC,Multidisciplinar,2011,15,
Norte,AC,Multidisciplinar,2012,5,
Norte,AC,Multidisciplinar,2013,7,
Norte,AC,Multidisciplinar,2014,6,
Norte,AC,Multidisciplinar,2015,18,
Norte,AC,Multidisciplinar,2016,34,
Norte,AC,Multidisciplinar,2017,13,
Nordeste,AL,Ciências agrárias,1996,0,
Nordeste,AL,Ciências agrárias,1997,0,
Nordeste,AL,Ciências agrárias,1998,0,
Nordeste,AL,Ciências agrárias,1999,0,
Nordeste,AL,Ciências agrárias,2000,0,
Nordeste,AL,Ciências agrárias,2001,1,
Nordeste,AL,Ciências agrárias,2002,16,
Nordeste,AL,Ciências agrárias,2003,16,
Nordeste,AL,Ciências agrárias,2004,18,
Nordeste,AL,Ciências agrárias,2005,6,
Nordeste,AL,Ciências agrárias,2006,17,
Nordeste,AL,Ciências agrárias,2007,18,
Nordeste,AL,Ciências agrárias,2008,16,
Nordeste,AL,Ciências agrárias,2009,12,
Nordeste,AL,Ciências agrárias,2010,22,
Nordeste,AL,Ciências agrárias,2011,30,
Nordeste,AL,Ciências agrárias,2012,26,
Nordeste,AL,Ciências agrárias,2013,33,
Nordeste,AL,Ciências agrárias,2014,43,
Nordeste,AL,Ciências agrárias,2015,33,
Nordeste,AL,Ciências agrárias,2016,34,
Nordeste,AL,Ciências agrárias,2017,40,
Nordeste,AL,Ciências biológicas,1996,0,
Nordeste,AL,Ciências biológicas,1997,0,
Nordeste,AL,Ciências biológicas,1998,0,
Nordeste,AL,Ciências biológicas,1999,0,
Nordeste,AL,Ciências biológicas,2000,0,
Nordeste,AL,Ciências biológicas,2001,0,
Nordeste,AL,Ciências biológicas,2002,0,
Nordeste,AL,Ciências biológicas,2003,0,
Nordeste,AL,Ciências biológicas,2004,0,
Nordeste,AL,Ciências biológicas,2005,0,
Nordeste,AL,Ciências biológicas,2006,0,
Nordeste,AL,Ciências biológicas,2007,0,
Nordeste,AL,Ciências biológicas,2008,0,
Nordeste,AL,Ciências biológicas,2009,0,
Nordeste,AL,Ciências biológicas,2010,0,
Nordeste,AL,Ciências biológicas,2011,9,
Nordeste,AL,Ciências biológicas,2012,6,
Nordeste,AL,Ciências biológicas,2013,9,
Nordeste,AL,Ciências biológicas,2014,8,
Nordeste,AL,Ciências biológicas,2015,10,
Nordeste,AL,Ciências biológicas,2016,8,
Nordeste,AL,Ciências biológicas,2017,6,
Nordeste,AL,Ciências da saúde,1996,0,
Nordeste,AL,Ciências da saúde,1997,0,
Nordeste,AL,Ciências da saúde,1998,0,
Nordeste,AL,Ciências da saúde,1999,0,
Nordeste,AL,Ciências da saúde,2000,0,
Nordeste,AL,Ciências da saúde,2001,0,
Nordeste,AL,Ciências da saúde,2002,0,
Nordeste,AL,Ciências da saúde,2003,0,
Nordeste,AL,Ciências da saúde,2004,0,
Nordeste,AL,Ciências da saúde,2005,0,
Nordeste,AL,Ciências da saúde,2006,0,
Nordeste,AL,Ciências da saúde,2007,12,
Nordeste,AL,Ciências da saúde,2008,20,
Nordeste,AL,Ciências da saúde,2009,36,
Nordeste,AL,Ciências da saúde,2010,27,
Nordeste,AL,Ciências da saúde,2011,40,
Nordeste,AL,Ciências da saúde,2012,54,
Nordeste,AL,Ciências da saúde,2013,55,
Nordeste,AL,Ciências da saúde,2014,79,
Nordeste,AL,Ciências da saúde,2015,68,
Nordeste,AL,Ciências da saúde,2016,62,
Nordeste,AL,Ciências da saúde,2017,82,
Nordeste,AL,Ciências exatas e da terra,1996,12,
Nordeste,AL,Ciências exatas e da terra,1997,3,
Nordeste,AL,Ciências exatas e da terra,1998,7,
Nordeste,AL,Ciências exatas e da terra,1999,12,
Nordeste,AL,Ciências exatas e da terra,2000,10,
Nordeste,AL,Ciências exatas e da terra,2001,3,
Nordeste,AL,Ciências exatas e da terra,2002,6,
Nordeste,AL,Ciências exatas e da terra,2003,4,
Nordeste,AL,Ciências exatas e da terra,2004,17,
Nordeste,AL,Ciências exatas e da terra,2005,37,
Nordeste,AL,Ciências exatas e da terra,2006,31,
Nordeste,AL,Ciências exatas e da terra,2007,27,
Nordeste,AL,Ciências exatas e da terra,2008,28,
Nordeste,AL,Ciências exatas e da terra,2009,46,
Nordeste,AL,Ciências exatas e da terra,2010,41,
Nordeste,AL,Ciências exatas e da terra,2011,45,
Nordeste,AL,Ciências exatas e da terra,2012,50,
Nordeste,AL,Ciências exatas e da terra,2013,37,
Nordeste,AL,Ciências exatas e da terra,2014,61,
Nordeste,AL,Ciências exatas e da terra,2015,62,
Nordeste,AL,Ciências exatas e da terra,2016,69,
Nordeste,AL,Ciências exatas e da terra,2017,76,
Nordeste,AL,Ciências humanas,1996,0,
Nordeste,AL,Ciências humanas,1997,0,
Nordeste,AL,Ciências humanas,1998,0,
Nordeste,AL,Ciências humanas,1999,0,
Nordeste,AL,Ciências humanas,2000,0,
Nordeste,AL,Ciências humanas,2001,0,
