"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Red Dead Redemption 2","PlayStation 4",97,99,8.4,14606,2018-10-26,"Action Adventure/Open-World","Action Adventure",9.7,"ALTO","ALTO",1.3,1.3,0
"Grand Theft Auto V","PlayStation 4",97,66,8.4,5966,2014-11-18,"Action Adventure/Modern/Open-World","Action Adventure",9.7,"ALTO","ALTO",1.3,1.3,0
"Metal Gear Solid V: The Phantom Pain","PlayStation 4",93,86,8.2,5627,2015-09-01,"Modern/Action Adventure/Modern/Open-World","Modern",9.3,"ALTO","ALTO",1.1,1.1,0
"The Witcher 3: Wild Hunt","PlayStation 4",92,79,9.2,15885,2015-05-19,"Action RPG/Role-Playing/Action RPG","Action RPG",9.2,"ALTO","ALTO",0,0,0
"Divinity: Original Sin II - Definitive Edition","PlayStation 4",92,46,7.9,405,2018-08-31,"Role-Playing/Western-Style","Role-Playing",9.2,"ALTO","ALTO",1.3,1.3,0
"Celeste","PlayStation 4",91,7,7.3,329,2018-01-25,"Action/Platformer/2D","Action",9.1,"ALTO","MEDIO",1.8,1.8,0
"INSIDE","PlayStation 4",91,18,8.4,795,2016-08-23,"Action/Platformer/2D","Action",9.1,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Resident Evil 2","PlayStation 4",91,85,8.9,3546,2019-01-25,"Action Adventure/Survival","Action Adventure",9.1,"ALTO","ALTO",0.199999999999999,0.199999999999999,0
"Diablo III: Ultimate Evil Edition","PlayStation 4",90,63,7.9,1416,2014-08-19,"Action RPG/Role-Playing/Action RPG","Action RPG",9,"ALTO","ALTO",1.1,1.1,0
"Overwatch","PlayStation 4",90,31,6.4,2147,2016-05-23,"Action/Shooter/First-Person/Tactical","Action",9,"ALTO","MEDIO",2.6,2.6,0
"Shovel Knight","PlayStation 4",90,18,7.7,422,2015-04-21,"Action/Platformer/2D","Action",9,"ALTO","ALTO",1.3,1.3,0
"Monster Hunter: World","PlayStation 4",90,93,7.7,1754,2018-01-26,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","ALTO",1.3,1.3,0
"Sekiro: Shadows Die Twice","PlayStation 4",90,76,8.1,3285,2019-03-22,"Action Adventure/General","Action Adventure",9,"ALTO","ALTO",0.9,0.9,0
"Monster Hunter: World - Iceborne","PlayStation 4",89,65,8.4,297,2019-09-06,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",0.5,0.5,0
"Titanfall 2","PlayStation 4",89,61,8.5,1711,2016-10-28,"Action/Shooter/First-Person/Arcade","Action",8.9,"ALTO","ALTO",0.4,0.4,0
"Dark Souls III","PlayStation 4",89,69,8.9,3616,2016-04-12,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",0,0,0
"Apex Legends","PlayStation 4",89,28,6.8,1319,2019-02-04,"Action/Shooter/First-Person/Tactical","Action",8.9,"ALTO","MEDIO",2.1,2.1,0
"Dragon Age: Inquisition","PlayStation 4",89,43,7.4,2663,2014-11-18,"General/Role-Playing/General/Action RPG/Western-Style","General",8.9,"ALTO","MEDIO",1.5,1.5,0
"Battlefield 1","PlayStation 4",89,34,7.9,2091,2016-10-18,"Action/General/Shooter/First-Person/Tactical","Action",8.9,"ALTO","ALTO",1,1,0
"What Remains of Edith Finch","PlayStation 4",88,65,8.3,642,2017-04-25,"General/Adventure/3D/First-Person","General",8.8,"ALTO","ALTO",0.5,0.5,0
"NBA 2K17","PlayStation 4",88,47,6.2,301,2016-09-16,"Sports/Team/Basketball/Sim","Sports",8.8,"ALTO","MEDIO",2.6,2.6,0
"Dishonored 2","PlayStation 4",88,62,7.9,1224,2016-11-10,"Action Adventure/General","Action Adventure",8.8,"ALTO","ALTO",0.9,0.9,0
"Divinity: Original Sin Enhanced Edition","PlayStation 4",88,39,8,559,2015-10-27,"Role-Playing/Action RPG/Western-Style","Role-Playing",8.8,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Devil May Cry 5","PlayStation 4",88,42,8.4,1559,2019-03-08,"Action Adventure/General","Action Adventure",8.8,"ALTO","ALTO",0.4,0.4,0
"Owlboy","PlayStation 4",88,10,6.7,110,2018-04-10,"Action Adventure/General","Action Adventure",8.8,"ALTO","MEDIO",2.1,2.1,0
"Guacamelee! Super Turbo Championship Edition","PlayStation 4",87,30,7.7,391,2014-07-01,"Action/Platformer/2D","Action",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,0
"Frostpunk: Console Edition","PlayStation 4",87,18,8,83,2019-10-11,"Action Adventure/Survival","Action Adventure",8.7,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"XCOM 2","PlayStation 4",87,29,7.3,420,2016-09-27,"Strategy/Turn-Based/General/Tactics","Strategy",8.7,"ALTO","MEDIO",1.4,1.4,0
"Injustice 2","PlayStation 4",87,90,8,756,2017-05-16,"Action/Fighting/2D","Action",8.7,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"The Witness","PlayStation 4",87,82,7.2,674,2016-01-26,"Miscellaneous/General/General/Puzzle/Puzzle/Adventure/3D/First-Person","Miscellaneous",8.7,"ALTO","MEDIO",1.5,1.5,0
"Dead Cells","PlayStation 4",87,31,7.7,211,2018-08-07,"Action/Platformer/2D","Action",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,0
"Sid Meier's Civilization VI","PlayStation 4",87,27,6.8,144,2019-11-22,"Strategy/Turn-Based/4X","Strategy",8.7,"ALTO","MEDIO",1.9,1.9,0
"Dragon Ball FighterZ","PlayStation 4",87,74,8,535,2018-01-26,"Action/Fighting/2D","Action",8.7,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Batman: Arkham Knight","PlayStation 4",87,89,7.9,4018,2015-06-23,"General/Fantasy/Action Adventure/Open-World","General",8.7,"ALTO","ALTO",0.799999999999999,0.799999999999999,0
"Okami HD","PlayStation 4",87,39,8.2,190,2017-12-12,"Action Adventure/General","Action Adventure",8.7,"ALTO","ALTO",0.5,0.5,0
"TowerFall Ascension","PlayStation 4",87,31,7,448,2014-03-11,"Action/General","Action",8.7,"ALTO","MEDIO",1.7,1.7,0
"Monster Boy and the Cursed Kingdom","PlayStation 4",87,18,8,72,2018-12-04,"Action Adventure/General","Action Adventure",8.7,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"FIFA 14","PlayStation 4",87,26,6.3,709,2013-11-12,"Sports/Traditional/Team/Soccer/Sim/Sim","Sports",8.7,"ALTO","MEDIO",2.4,2.4,0
"Pro Evolution Soccer 2016","PlayStation 4",87,54,7.2,713,2015-09-15,"Sports/Team/Soccer/Sim","Sports",8.7,"ALTO","MEDIO",1.5,1.5,0
"Wolfenstein II: The New Colossus","PlayStation 4",87,70,7.3,1299,2017-10-27,"Action/Shooter/First-Person/Arcade","Action",8.7,"ALTO","MEDIO",1.4,1.4,0
"Dark Souls II: Scholar of the First Sin","PlayStation 4",87,42,7.9,1071,2015-04-07,"Role-Playing/Action RPG","Role-Playing",8.7,"ALTO","ALTO",0.799999999999999,0.799999999999999,0
"NBA 2K16","PlayStation 4",87,51,6.7,436,2015-09-25,"Action/General/Sports/Team/Basketball/Sim","Action",8.7,"ALTO","MEDIO",2,2,0
"Fallout 4","PlayStation 4",87,58,6.7,5458,2015-11-10,"General/Role-Playing/Western-Style","General",8.7,"ALTO","MEDIO",2,2,0
"F1 2017","PlayStation 4",86,41,7.5,87,2017-08-25,"Racing/Simulation/Automobile","Racing",8.6,"ALTO","ALTO",1.1,1.1,0
"Stardew Valley","PlayStation 4",86,11,7.9,215,2016-12-13,"Role-Playing/General","Role-Playing",8.6,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Thimbleweed Park","PlayStation 4",86,7,7.6,51,2017-08-22,"Adventure/Point-and-Click","Adventure",8.6,"ALTO","ALTO",1,1,0
"Sonic Mania","PlayStation 4",86,70,8,632,2017-08-15,"Action/Platformer/2D","Action",8.6,"ALTO","ALTO",0.6,0.6,0
"Resident Evil 7: biohazard","PlayStation 4",86,100,8,3009,2017-01-24,"Action Adventure/Survival","Action Adventure",8.6,"ALTO","ALTO",0.6,0.6,0
"Destiny: The Taken King","PlayStation 4",86,81,6.2,1098,2015-09-15,"Action/Shooter/First-Person/Arcade","Action",8.6,"ALTO","MEDIO",2.4,2.4,0
"DiRT Rally","PlayStation 4",85,46,7.9,289,2016-04-05,"Racing/Simulation/Automobile","Racing",8.5,"ALTO","ALTO",0.6,0.6,0
"The Outer Worlds","PlayStation 4",85,77,8,1351,2019-10-25,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","ALTO",0.5,0.5,0
"Pillars of Eternity: Complete Edition","PlayStation 4",85,25,7.4,112,2017-08-29,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","MEDIO",1.1,1.1,0
"DOOM","PlayStation 4",85,61,8.4,2326,2016-05-13,"Sci-Fi/Third-Person/Action/Shooter/First-Person/Arcade","Sci-Fi",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"NBA 2K14","PlayStation 4",85,20,6.5,385,2013-11-12,"Sports/Traditional/Team/Basketball/Sim/Sim","Sports",8.5,"ALTO","MEDIO",2,2,0
"Rocket League","PlayStation 4",85,50,8.4,1768,2015-07-07,"Racing/Futuristic/Sports/Team/Soccer/Arcade","Racing",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"Pro Evolution Soccer 2017","PlayStation 4",85,62,7.3,610,2016-09-13,"Sports/Team/Soccer/Sim","Sports",8.5,"ALTO","MEDIO",1.2,1.2,0
