"name","plataform","metascore","metascore_reviews","metascore_norm","metascore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"Red Dead Redemption 2","PlayStation 4",97,99,9.7,"ALTO",2018-10-26,"Action Adventure/Open-World","Action Adventure",0,"metascore"
"Grand Theft Auto V","PlayStation 4",97,66,9.7,"ALTO",2014-11-18,"Action Adventure/Modern/Open-World","Action Adventure",0,"metascore"
"The Last of Us Remastered","PlayStation 4",95,70,9.5,"ALTO",2014-07-29,"Action Adventure/General/Modern","Action Adventure",1,"metascore"
"God of War","PlayStation 4",94,118,9.4,"ALTO",2018-04-20,"Action Adventure/Linear","Action Adventure",1,"metascore"
"Persona 5","PlayStation 4",93,98,9.3,"ALTO",2017-04-04,"Role-Playing/Japanese-Style","Role-Playing",1,"metascore"
"Metal Gear Solid V: The Phantom Pain","PlayStation 4",93,86,9.3,"ALTO",2015-09-01,"Modern/Action Adventure/Modern/Open-World","Modern",0,"metascore"
"Uncharted 4: A Thief's End","PlayStation 4",93,113,9.3,"ALTO",2016-05-10,"General/Modern/Action Adventure/Linear","General",1,"metascore"
"Journey","PlayStation 4",92,45,9.2,"ALTO",2015-07-21,"Action/Platformer/3D","Action",1,"metascore"
"Bloodborne","PlayStation 4",92,100,9.2,"ALTO",2015-03-24,"Fantasy/Role-Playing/Action Adventure/General/Action RPG","Fantasy",1,"metascore"
"Undertale","PlayStation 4",92,18,9.2,"ALTO",2017-08-15,"Role-Playing/Japanese-Style","Role-Playing",1,"metascore"
"The Witcher 3: Wild Hunt","PlayStation 4",92,79,9.2,"ALTO",2015-05-19,"Action RPG/Role-Playing/Action RPG","Action RPG",0,"metascore"
"Divinity: Original Sin II - Definitive Edition","PlayStation 4",92,46,9.2,"ALTO",2018-08-31,"Role-Playing/Western-Style","Role-Playing",0,"metascore"
"Final Fantasy XIV: Shadowbringers","PlayStation 4",91,18,9.1,"ALTO",2019-07-02,"Role-Playing/Massively Multiplayer","Role-Playing",1,"metascore"
"Shadow of the Colossus","PlayStation 4",91,100,9.1,"ALTO",2018-02-06,"Action Adventure/General","Action Adventure",1,"metascore"
"The Witcher 3: Wild Hunt - Blood and Wine","PlayStation 4",91,27,9.1,"ALTO",2016-05-30,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Celeste","PlayStation 4",91,7,9.1,"ALTO",2018-01-25,"Action/Platformer/2D","Action",0,"metascore"
"INSIDE","PlayStation 4",91,18,9.1,"ALTO",2016-08-23,"Action/Platformer/2D","Action",0,"metascore"
"NieR: Automata - Game of the YoRHa Edition","PlayStation 4",91,10,9.1,"ALTO",2019-02-26,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Resident Evil 2","PlayStation 4",91,85,9.1,"ALTO",2019-01-25,"Action Adventure/Survival","Action Adventure",0,"metascore"
"flower","PlayStation 4",91,11,9.1,"ALTO",2013-11-15,"General/Miscellaneous/General","General",1,"metascore"
"Diablo III: Ultimate Evil Edition","PlayStation 4",90,63,9,"ALTO",2014-08-19,"Action RPG/Role-Playing/Action RPG","Action RPG",0,"metascore"
"Overwatch","PlayStation 4",90,31,9,"ALTO",2016-05-23,"Action/Shooter/First-Person/Tactical","Action",0,"metascore"
"Shovel Knight","PlayStation 4",90,18,9,"ALTO",2015-04-21,"Action/Platformer/2D","Action",0,"metascore"
"Rayman Legends","PlayStation 4",90,16,9,"ALTO",2014-02-18,"Platformer/2D/Action/Platformer/2D","Platformer",1,"metascore"
"Fez","PlayStation 4",90,17,9,"ALTO",2014-03-25,"Action/Platformer/Platformer/2D/2D","Action",1,"metascore"
"Monster Hunter: World","PlayStation 4",90,93,9,"ALTO",2018-01-26,"Role-Playing/Action RPG","Role-Playing",0,"metascore"
"Tales From The Borderlands: Episode 5 - The Vault of the Traveler","PlayStation 4",90,7,9,"ALTO",2015-10-20,"Adventure/General","Adventure",1,"metascore"
"The Witcher 3: Wild Hunt - Hearts of Stone","PlayStation 4",90,25,9,"ALTO",2015-10-12,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Sekiro: Shadows Die Twice","PlayStation 4",90,76,9,"ALTO",2019-03-22,"Action Adventure/General","Action Adventure",0,"metascore"
"Astro Bot: Rescue Mission","PlayStation 4",90,51,9,"ALTO",2018-10-02,"Action Adventure/General","Action Adventure",1,"metascore"
"Monster Hunter: World - Iceborne","PlayStation 4",89,65,8.9,"ALTO",2019-09-06,"Role-Playing/Action RPG","Role-Playing",0,"metascore"
"Rez Infinite","PlayStation 4",89,47,8.9,"ALTO",2016-10-13,"Action/Shooter/Rail","Action",1,"metascore"
"Titanfall 2","PlayStation 4",89,61,8.9,"ALTO",2016-10-28,"Action/Shooter/First-Person/Arcade","Action",0,"metascore"
"Dark Souls III","PlayStation 4",89,69,8.9,"ALTO",2016-04-12,"Role-Playing/Action RPG","Role-Playing",0,"metascore"
"Tetris Effect","PlayStation 4",89,72,8.9,"ALTO",2018-11-09,"Puzzle/Stacking","Puzzle",1,"metascore"
