"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Red Dead Redemption 2","PlayStation 4",97,99,8.4,14606,2018-10-26,"Action Adventure/Open-World","Action Adventure",9.7,"ALTO","ALTO",1.3,1.3,0
"Grand Theft Auto V","PlayStation 4",97,66,8.4,5966,2014-11-18,"Action Adventure/Modern/Open-World","Action Adventure",9.7,"ALTO","ALTO",1.3,1.3,0
"The Last of Us Remastered","PlayStation 4",95,70,9.2,14788,2014-07-29,"Action Adventure/General/Modern","Action Adventure",9.5,"ALTO","ALTO",0.300000000000001,0.300000000000001,1
"God of War","PlayStation 4",94,118,9.2,16539,2018-04-20,"Action Adventure/Linear","Action Adventure",9.4,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Persona 5","PlayStation 4",93,98,8.7,4757,2017-04-04,"Role-Playing/Japanese-Style","Role-Playing",9.3,"ALTO","ALTO",0.600000000000001,0.600000000000001,1
"Metal Gear Solid V: The Phantom Pain","PlayStation 4",93,86,8.2,5627,2015-09-01,"Modern/Action Adventure/Modern/Open-World","Modern",9.3,"ALTO","ALTO",1.1,1.1,0
"Uncharted 4: A Thief's End","PlayStation 4",93,113,8.6,12438,2016-05-10,"General/Modern/Action Adventure/Linear","General",9.3,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
"Journey","PlayStation 4",92,45,8.3,2264,2015-07-21,"Action/Platformer/3D","Action",9.2,"ALTO","ALTO",0.899999999999999,0.899999999999999,1
"Bloodborne","PlayStation 4",92,100,8.9,10527,2015-03-24,"Fantasy/Role-Playing/Action Adventure/General/Action RPG","Fantasy",9.2,"ALTO","ALTO",0.299999999999999,0.299999999999999,1
"Undertale","PlayStation 4",92,18,7,767,2017-08-15,"Role-Playing/Japanese-Style","Role-Playing",9.2,"ALTO","MEDIO",2.2,2.2,1
"The Witcher 3: Wild Hunt","PlayStation 4",92,79,9.2,15885,2015-05-19,"Action RPG/Role-Playing/Action RPG","Action RPG",9.2,"ALTO","ALTO",0,0,0
"Divinity: Original Sin II - Definitive Edition","PlayStation 4",92,46,7.9,405,2018-08-31,"Role-Playing/Western-Style","Role-Playing",9.2,"ALTO","ALTO",1.3,1.3,0
"Final Fantasy XIV: Shadowbringers","PlayStation 4",91,18,8.4,282,2019-07-02,"Role-Playing/Massively Multiplayer","Role-Playing",9.1,"ALTO","ALTO",0.699999999999999,0.699999999999999,1
"Shadow of the Colossus","PlayStation 4",91,100,7.8,2156,2018-02-06,"Action Adventure/General","Action Adventure",9.1,"ALTO","ALTO",1.3,1.3,1
"The Witcher 3: Wild Hunt - Blood and Wine","PlayStation 4",91,27,9.1,1659,2016-05-30,"Role-Playing/Action RPG","Role-Playing",9.1,"ALTO","ALTO",0,0,1
"Celeste","PlayStation 4",91,7,7.3,329,2018-01-25,"Action/Platformer/2D","Action",9.1,"ALTO","MEDIO",1.8,1.8,0
"INSIDE","PlayStation 4",91,18,8.4,795,2016-08-23,"Action/Platformer/2D","Action",9.1,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"NieR: Automata - Game of the YoRHa Edition","PlayStation 4",91,10,8.6,478,2019-02-26,"Role-Playing/Action RPG","Role-Playing",9.1,"ALTO","ALTO",0.5,0.5,1
"Resident Evil 2","PlayStation 4",91,85,8.9,3546,2019-01-25,"Action Adventure/Survival","Action Adventure",9.1,"ALTO","ALTO",0.199999999999999,0.199999999999999,0
"flower","PlayStation 4",91,11,7.2,717,2013-11-15,"General/Miscellaneous/General","General",9.1,"ALTO","MEDIO",1.9,1.9,1
"Diablo III: Ultimate Evil Edition","PlayStation 4",90,63,7.9,1416,2014-08-19,"Action RPG/Role-Playing/Action RPG","Action RPG",9,"ALTO","ALTO",1.1,1.1,0
"Overwatch","PlayStation 4",90,31,6.4,2147,2016-05-23,"Action/Shooter/First-Person/Tactical","Action",9,"ALTO","MEDIO",2.6,2.6,0
"Shovel Knight","PlayStation 4",90,18,7.7,422,2015-04-21,"Action/Platformer/2D","Action",9,"ALTO","ALTO",1.3,1.3,0
"Rayman Legends","PlayStation 4",90,16,8.4,897,2014-02-18,"Platformer/2D/Action/Platformer/2D","Platformer",9,"ALTO","ALTO",0.6,0.6,1
"Fez","PlayStation 4",90,17,6.4,550,2014-03-25,"Action/Platformer/Platformer/2D/2D","Action",9,"ALTO","MEDIO",2.6,2.6,1
"Monster Hunter: World","PlayStation 4",90,93,7.7,1754,2018-01-26,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","ALTO",1.3,1.3,0
"Tales From The Borderlands: Episode 5 - The Vault of the Traveler","PlayStation 4",90,7,7.9,181,2015-10-20,"Adventure/General","Adventure",9,"ALTO","ALTO",1.1,1.1,1
"The Witcher 3: Wild Hunt - Hearts of Stone","PlayStation 4",90,25,9,1719,2015-10-12,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","ALTO",0,0,1
"Sekiro: Shadows Die Twice","PlayStation 4",90,76,8.1,3285,2019-03-22,"Action Adventure/General","Action Adventure",9,"ALTO","ALTO",0.9,0.9,0
"Astro Bot: Rescue Mission","PlayStation 4",90,51,8.9,467,2018-10-02,"Action Adventure/General","Action Adventure",9,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,1
"Monster Hunter: World - Iceborne","PlayStation 4",89,65,8.4,297,2019-09-06,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",0.5,0.5,0
"Rez Infinite","PlayStation 4",89,47,7.6,187,2016-10-13,"Action/Shooter/Rail","Action",8.9,"ALTO","ALTO",1.3,1.3,1
"Titanfall 2","PlayStation 4",89,61,8.5,1711,2016-10-28,"Action/Shooter/First-Person/Arcade","Action",8.9,"ALTO","ALTO",0.4,0.4,0
"Dark Souls III","PlayStation 4",89,69,8.9,3616,2016-04-12,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",0,0,0
"Tetris Effect","PlayStation 4",89,72,7.6,203,2018-11-09,"Puzzle/Stacking","Puzzle",8.9,"ALTO","ALTO",1.3,1.3,1
"Final Fantasy XIV: Stormblood","PlayStation 4",89,15,8.7,319,2017-06-20,"Role-Playing/Massively Multiplayer","Role-Playing",8.9,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Bastion","PlayStation 4",89,13,7.7,322,2015-04-07,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",1.2,1.2,1
"Apex Legends","PlayStation 4",89,28,6.8,1319,2019-02-04,"Action/Shooter/First-Person/Tactical","Action",8.9,"ALTO","MEDIO",2.1,2.1,0
"Dragon Age: Inquisition","PlayStation 4",89,43,7.4,2663,2014-11-18,"General/Role-Playing/General/Action RPG/Western-Style","General",8.9,"ALTO","MEDIO",1.5,1.5,0
"Battlefield 1","PlayStation 4",89,34,7.9,2091,2016-10-18,"Action/General/Shooter/First-Person/Tactical","Action",8.9,"ALTO","ALTO",1,1,0
"Horizon Zero Dawn","PlayStation 4",89,115,8.4,9506,2017-02-28,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",0.5,0.5,1
"Minecraft: PlayStation 4 Edition","PlayStation 4",89,14,6.6,562,2014-09-03,"Action Adventure/Adventure/3D/Sandbox/First-Person/Fantasy/Fantasy","Action Adventure",8.9,"ALTO","MEDIO",2.3,2.3,1
"What Remains of Edith Finch","PlayStation 4",88,65,8.3,642,2017-04-25,"General/Adventure/3D/First-Person","General",8.8,"ALTO","ALTO",0.5,0.5,0
"The Binding of Isaac: Rebirth","PlayStation 4",88,15,7.8,536,2014-11-04,"Horror/Action/Action Adventure/Shooter/Survival/Shoot-'Em-Up/Top-Down","Horror",8.8,"ALTO","ALTO",1,1,1
"NieR: Automata","PlayStation 4",88,101,8.9,3773,2017-03-07,"Role-Playing/Action RPG","Role-Playing",8.8,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,1
"Rise of the Tomb Raider: 20 Year Celebration","PlayStation 4",88,55,8,1499,2016-10-11,"Action Adventure/Linear","Action Adventure",8.8,"ALTO","ALTO",0.800000000000001,0.800000000000001,1
"NBA 2K17","PlayStation 4",88,47,6.2,301,2016-09-16,"Sports/Team/Basketball/Sim","Sports",8.8,"ALTO","MEDIO",2.6,2.6,0
"Dishonored 2","PlayStation 4",88,62,7.9,1224,2016-11-10,"Action Adventure/General","Action Adventure",8.8,"ALTO","ALTO",0.9,0.9,0
"Injustice 2: Legendary Edition","PlayStation 4",88,7,7.7,191,2018-03-27,"Action/Fighting/2D","Action",8.8,"ALTO","ALTO",1.1,1.1,1
"Divinity: Original Sin Enhanced Edition","PlayStation 4",88,39,8,559,2015-10-27,"Role-Playing/Action RPG/Western-Style","Role-Playing",8.8,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Devil May Cry 5","PlayStation 4",88,42,8.4,1559,2019-03-08,"Action Adventure/General","Action Adventure",8.8,"ALTO","ALTO",0.4,0.4,0
"Slay the Spire","PlayStation 4",88,7,6.7,69,2019-05-21,"Strategy/Turn-Based/Card Battle","Strategy",8.8,"ALTO","MEDIO",2.1,2.1,1
"Owlboy","PlayStation 4",88,10,6.7,110,2018-04-10,"Action Adventure/General","Action Adventure",8.8,"ALTO","MEDIO",2.1,2.1,0
"Keep Talking and Nobody Explodes","PlayStation 4",88,9,7,60,2016-10-13,"Adventure/3D/First-Person","Adventure",8.8,"ALTO","MEDIO",1.8,1.8,1
"The Talos Principle: Deluxe Edition","PlayStation 4",88,31,8.1,218,2015-10-13,"Adventure/3D/First-Person/Sci-Fi","Adventure",8.8,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
