"name","plataform","userscore","userscore_reviews","userscore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"Red Dead Redemption 2","PlayStation 4",8.4,14606,"ALTO",2018-10-26,"Action Adventure/Open-World","Action Adventure",0,"userscore"
"Grand Theft Auto V","PlayStation 4",8.4,5966,"ALTO",2014-11-18,"Action Adventure/Modern/Open-World","Action Adventure",0,"userscore"
"The Last of Us Remastered","PlayStation 4",9.2,14788,"ALTO",2014-07-29,"Action Adventure/General/Modern","Action Adventure",1,"userscore"
"God of War","PlayStation 4",9.2,16539,"ALTO",2018-04-20,"Action Adventure/Linear","Action Adventure",1,"userscore"
"Persona 5","PlayStation 4",8.7,4757,"ALTO",2017-04-04,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Metal Gear Solid V: The Phantom Pain","PlayStation 4",8.2,5627,"ALTO",2015-09-01,"Modern/Action Adventure/Modern/Open-World","Modern",0,"userscore"
"Uncharted 4: A Thief's End","PlayStation 4",8.6,12438,"ALTO",2016-05-10,"General/Modern/Action Adventure/Linear","General",1,"userscore"
"Journey","PlayStation 4",8.3,2264,"ALTO",2015-07-21,"Action/Platformer/3D","Action",1,"userscore"
"Bloodborne","PlayStation 4",8.9,10527,"ALTO",2015-03-24,"Fantasy/Role-Playing/Action Adventure/General/Action RPG","Fantasy",1,"userscore"
"Undertale","PlayStation 4",7,767,"MEDIO",2017-08-15,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"The Witcher 3: Wild Hunt","PlayStation 4",9.2,15885,"ALTO",2015-05-19,"Action RPG/Role-Playing/Action RPG","Action RPG",0,"userscore"
"Divinity: Original Sin II - Definitive Edition","PlayStation 4",7.9,405,"ALTO",2018-08-31,"Role-Playing/Western-Style","Role-Playing",0,"userscore"
"Final Fantasy XIV: Shadowbringers","PlayStation 4",8.4,282,"ALTO",2019-07-02,"Role-Playing/Massively Multiplayer","Role-Playing",1,"userscore"
"Shadow of the Colossus","PlayStation 4",7.8,2156,"ALTO",2018-02-06,"Action Adventure/General","Action Adventure",1,"userscore"
"The Witcher 3: Wild Hunt - Blood and Wine","PlayStation 4",9.1,1659,"ALTO",2016-05-30,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Celeste","PlayStation 4",7.3,329,"MEDIO",2018-01-25,"Action/Platformer/2D","Action",0,"userscore"
"INSIDE","PlayStation 4",8.4,795,"ALTO",2016-08-23,"Action/Platformer/2D","Action",0,"userscore"
"NieR: Automata - Game of the YoRHa Edition","PlayStation 4",8.6,478,"ALTO",2019-02-26,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Resident Evil 2","PlayStation 4",8.9,3546,"ALTO",2019-01-25,"Action Adventure/Survival","Action Adventure",0,"userscore"
"flower","PlayStation 4",7.2,717,"MEDIO",2013-11-15,"General/Miscellaneous/General","General",1,"userscore"
"Diablo III: Ultimate Evil Edition","PlayStation 4",7.9,1416,"ALTO",2014-08-19,"Action RPG/Role-Playing/Action RPG","Action RPG",0,"userscore"
"Overwatch","PlayStation 4",6.4,2147,"MEDIO",2016-05-23,"Action/Shooter/First-Person/Tactical","Action",0,"userscore"
"Shovel Knight","PlayStation 4",7.7,422,"ALTO",2015-04-21,"Action/Platformer/2D","Action",0,"userscore"
"Rayman Legends","PlayStation 4",8.4,897,"ALTO",2014-02-18,"Platformer/2D/Action/Platformer/2D","Platformer",1,"userscore"
"Fez","PlayStation 4",6.4,550,"MEDIO",2014-03-25,"Action/Platformer/Platformer/2D/2D","Action",1,"userscore"
"Monster Hunter: World","PlayStation 4",7.7,1754,"ALTO",2018-01-26,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Tales From The Borderlands: Episode 5 - The Vault of the Traveler","PlayStation 4",7.9,181,"ALTO",2015-10-20,"Adventure/General","Adventure",1,"userscore"
"The Witcher 3: Wild Hunt - Hearts of Stone","PlayStation 4",9,1719,"ALTO",2015-10-12,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Sekiro: Shadows Die Twice","PlayStation 4",8.1,3285,"ALTO",2019-03-22,"Action Adventure/General","Action Adventure",0,"userscore"
"Astro Bot: Rescue Mission","PlayStation 4",8.9,467,"ALTO",2018-10-02,"Action Adventure/General","Action Adventure",1,"userscore"
"Monster Hunter: World - Iceborne","PlayStation 4",8.4,297,"ALTO",2019-09-06,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Rez Infinite","PlayStation 4",7.6,187,"ALTO",2016-10-13,"Action/Shooter/Rail","Action",1,"userscore"
"Titanfall 2","PlayStation 4",8.5,1711,"ALTO",2016-10-28,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Dark Souls III","PlayStation 4",8.9,3616,"ALTO",2016-04-12,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Tetris Effect","PlayStation 4",7.6,203,"ALTO",2018-11-09,"Puzzle/Stacking","Puzzle",1,"userscore"
"Final Fantasy XIV: Stormblood","PlayStation 4",8.7,319,"ALTO",2017-06-20,"Role-Playing/Massively Multiplayer","Role-Playing",1,"userscore"
"Bastion","PlayStation 4",7.7,322,"ALTO",2015-04-07,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Apex Legends","PlayStation 4",6.8,1319,"MEDIO",2019-02-04,"Action/Shooter/First-Person/Tactical","Action",0,"userscore"
"Dragon Age: Inquisition","PlayStation 4",7.4,2663,"MEDIO",2014-11-18,"General/Role-Playing/General/Action RPG/Western-Style","General",0,"userscore"
"Battlefield 1","PlayStation 4",7.9,2091,"ALTO",2016-10-18,"Action/General/Shooter/First-Person/Tactical","Action",0,"userscore"
"Horizon Zero Dawn","PlayStation 4",8.4,9506,"ALTO",2017-02-28,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Minecraft: PlayStation 4 Edition","PlayStation 4",6.6,562,"MEDIO",2014-09-03,"Action Adventure/Adventure/3D/Sandbox/First-Person/Fantasy/Fantasy","Action Adventure",1,"userscore"
"What Remains of Edith Finch","PlayStation 4",8.3,642,"ALTO",2017-04-25,"General/Adventure/3D/First-Person","General",0,"userscore"
"The Binding of Isaac: Rebirth","PlayStation 4",7.8,536,"ALTO",2014-11-04,"Horror/Action/Action Adventure/Shooter/Survival/Shoot-'Em-Up/Top-Down","Horror",1,"userscore"
"NieR: Automata","PlayStation 4",8.9,3773,"ALTO",2017-03-07,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Rise of the Tomb Raider: 20 Year Celebration","PlayStation 4",8,1499,"ALTO",2016-10-11,"Action Adventure/Linear","Action Adventure",1,"userscore"
"NBA 2K17","PlayStation 4",6.2,301,"MEDIO",2016-09-16,"Sports/Team/Basketball/Sim","Sports",0,"userscore"
"Dishonored 2","PlayStation 4",7.9,1224,"ALTO",2016-11-10,"Action Adventure/General","Action Adventure",0,"userscore"
"Injustice 2: Legendary Edition","PlayStation 4",7.7,191,"ALTO",2018-03-27,"Action/Fighting/2D","Action",1,"userscore"
"Divinity: Original Sin Enhanced Edition","PlayStation 4",8,559,"ALTO",2015-10-27,"Role-Playing/Action RPG/Western-Style","Role-Playing",0,"userscore"
"Devil May Cry 5","PlayStation 4",8.4,1559,"ALTO",2019-03-08,"Action Adventure/General","Action Adventure",0,"userscore"
"Slay the Spire","PlayStation 4",6.7,69,"MEDIO",2019-05-21,"Strategy/Turn-Based/Card Battle","Strategy",1,"userscore"
"Owlboy","PlayStation 4",6.7,110,"MEDIO",2018-04-10,"Action Adventure/General","Action Adventure",0,"userscore"
"Keep Talking and Nobody Explodes","PlayStation 4",7,60,"MEDIO",2016-10-13,"Adventure/3D/First-Person","Adventure",1,"userscore"
"The Talos Principle: Deluxe Edition","PlayStation 4",8.1,218,"ALTO",2015-10-13,"Adventure/3D/First-Person/Sci-Fi","Adventure",1,"userscore"
"Nex Machina: Death Machine","PlayStation 4",8,153,"ALTO",2017-06-20,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",1,"userscore"
"Nioh","PlayStation 4",8.3,2334,"ALTO",2017-02-07,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Guacamelee! Super Turbo Championship Edition","PlayStation 4",7.7,391,"ALTO",2014-07-01,"Action/Platformer/2D","Action",0,"userscore"
"Frostpunk: Console Edition","PlayStation 4",8,83,"ALTO",2019-10-11,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Bloodborne: The Old Hunters","PlayStation 4",9.1,1797,"ALTO",2015-11-24,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"XCOM 2","PlayStation 4",7.3,420,"MEDIO",2016-09-27,"Strategy/Turn-Based/General/Tactics","Strategy",0,"userscore"
"Injustice 2","PlayStation 4",8,756,"ALTO",2017-05-16,"Action/Fighting/2D","Action",0,"userscore"
"The Witness","PlayStation 4",7.2,674,"MEDIO",2016-01-26,"Miscellaneous/General/General/Puzzle/Puzzle/Adventure/3D/First-Person","Miscellaneous",0,"userscore"
"Dead Cells","PlayStation 4",7.7,211,"ALTO",2018-08-07,"Action/Platformer/2D","Action",0,"userscore"
"Sid Meier's Civilization VI","PlayStation 4",6.8,144,"MEDIO",2019-11-22,"Strategy/Turn-Based/4X","Strategy",0,"userscore"
"Street Fighter V: Arcade Edition","PlayStation 4",6.5,345,"MEDIO",2018-01-16,"Action/Fighting/2D","Action",1,"userscore"
"Night in the Woods","PlayStation 4",7.1,184,"MEDIO",2017-02-21,"Fantasy/Action Adventure/Adventure/General","Fantasy",1,"userscore"
"Dragon Ball FighterZ","PlayStation 4",8,535,"ALTO",2018-01-26,"Action/Fighting/2D","Action",0,"userscore"
"Batman: Arkham Knight","PlayStation 4",7.9,4018,"ALTO",2015-06-23,"General/Fantasy/Action Adventure/Open-World","General",0,"userscore"
"Marvel's Spider-Man","PlayStation 4",8.7,6229,"ALTO",2018-09-07,"Action Adventure/Open-World","Action Adventure",1,"userscore"
