"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Red Dead Redemption 2","Xbox One",97,33,7.8,3255,2018-10-26,"Action Adventure/Open-World","Action Adventure",9.7,"ALTO","ALTO",1.9,1.9,0
"Grand Theft Auto V","Xbox One",97,14,7.9,1306,2014-11-18,"Action Adventure/Modern/Open-World","Action Adventure",9.7,"ALTO","ALTO",1.8,1.8,0
"Metal Gear Solid V: The Phantom Pain","Xbox One",95,10,7.4,1180,2015-09-01,"Modern/Modern/Action Adventure/Open-World","Modern",9.5,"ALTO","MEDIO",2.1,2.1,0
"Celeste","Xbox One",94,10,7.2,270,2018-01-26,"Action/Platformer/2D","Action",9.4,"ALTO","MEDIO",2.2,2.2,0
"Resident Evil 2","Xbox One",93,27,8.6,905,2019-01-25,"Action Adventure/Survival","Action Adventure",9.3,"ALTO","ALTO",0.700000000000001,0.700000000000001,0
"INSIDE","Xbox One",93,87,8.3,665,2016-06-29,"Action/Platformer/2D","Action",9.3,"ALTO","ALTO",1,1,0
"Forza Horizon 4","Xbox One",92,88,8.1,1348,2018-09-28,"Racing/Simulation/Automobile","Racing",9.2,"ALTO","ALTO",1.1,1.1,1
"Divinity: Original Sin II - Definitive Edition","Xbox One",92,12,7.7,130,2018-08-31,"Role-Playing/Western-Style","Role-Playing",9.2,"ALTO","ALTO",1.5,1.5,0
"What Remains of Edith Finch","Xbox One",92,12,7.7,205,2017-07-19,"Adventure/3D/First-Person","Adventure",9.2,"ALTO","ALTO",1.5,1.5,0
"The Witcher 3: Wild Hunt","Xbox One",91,13,9.2,4824,2015-05-19,"Action RPG/Role-Playing/Action RPG","Action RPG",9.1,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,0
"Overwatch","Xbox One",91,18,5.9,922,2016-05-23,"Action/Shooter/First-Person/Tactical","Action",9.1,"ALTO","MEDIO",3.2,3.2,0
"Sekiro: Shadows Die Twice","Xbox One",91,31,8,706,2019-03-22,"Action Adventure/General","Action Adventure",9.1,"ALTO","ALTO",1.1,1.1,0
"Forza Horizon 3","Xbox One",91,91,8,1139,2016-09-23,"Racing/Simulation/Automobile","Racing",9.1,"ALTO","ALTO",1.1,1.1,1
"Dead Cells","Xbox One",91,18,8,116,2018-08-07,"Action/Platformer/2D","Action",9.1,"ALTO","ALTO",1.1,1.1,0
"Monster Hunter: World - Iceborne","Xbox One",90,9,8.2,72,2019-09-06,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"NieR: Automata - Become as Gods Edition","Xbox One",90,30,9,514,2018-06-26,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","ALTO",0,0,1
"Monster Hunter: World","Xbox One",90,17,7.1,428,2018-01-26,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","MEDIO",1.9,1.9,0
"NBA 2K17","Xbox One",90,17,5.9,133,2016-09-16,"Sports/Team/Basketball/Sim","Sports",9,"ALTO","MEDIO",3.1,3.1,0
"F1 2019","Xbox One",89,15,6.8,49,2019-06-25,"Racing/Simulation/Automobile","Racing",8.9,"ALTO","MEDIO",2.1,2.1,0
"Dark Souls II: Scholar of the First Sin","Xbox One",89,11,7.8,237,2015-04-07,"Role-Playing/Action RPG","Role-Playing",8.9,"ALTO","ALTO",1.1,1.1,0
"Stardew Valley","Xbox One",89,10,7.8,113,2016-12-14,"Role-Playing/General","Role-Playing",8.9,"ALTO","ALTO",1.1,1.1,0
"Destiny: The Taken King","Xbox One",89,11,5.3,420,2015-09-15,"Action/Shooter/First-Person/Arcade","Action",8.9,"ALTO","MEDIO",3.6,3.6,0
"Injustice 2","Xbox One",89,23,8.2,239,2017-05-16,"Action/Fighting/2D","Action",8.9,"ALTO","ALTO",0.700000000000001,0.700000000000001,0
"Fallout 4","Xbox One",88,39,6.5,2044,2015-11-10,"General/Role-Playing/Western-Style","General",8.8,"ALTO","MEDIO",2.3,2.3,0
"N++","Xbox One",88,7,5.5,20,2017-10-04,"Action/Platformer/2D","Action",8.8,"ALTO","MEDIO",3.3,3.3,0
"Wolfenstein II: The New Colossus","Xbox One",88,21,6.5,429,2017-10-27,"Action/Shooter/First-Person/Arcade","Action",8.8,"ALTO","MEDIO",2.3,2.3,0
"Divinity: Original Sin Enhanced Edition","Xbox One",88,7,7.6,138,2015-10-27,"Role-Playing/Action RPG/Western-Style","Role-Playing",8.8,"ALTO","ALTO",1.2,1.2,0
"FIFA 14","Xbox One",88,22,5.8,352,2013-11-19,"Sim/Sports/Traditional/Team/Soccer/Sim","Sim",8.8,"ALTO","MEDIO",3,3,0
"Ori and the Blind Forest: Definitive Edition","Xbox One",88,24,8.1,382,2016-03-11,"Action/Platformer/2D","Action",8.8,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
"Dishonored 2","Xbox One",88,25,7.4,277,2016-11-10,"Action Adventure/General","Action Adventure",8.8,"ALTO","MEDIO",1.4,1.4,0
"The Banner Saga 3","Xbox One",88,9,7.4,26,2018-07-26,"Strategy/Turn-Based/Tactics","Strategy",8.8,"ALTO","MEDIO",1.4,1.4,0
"Minecraft: Xbox One Edition","Xbox One",88,14,7.1,352,2014-11-18,"Action Adventure/Adventure/3D/Sandbox/First-Person/Fantasy/Fantasy","Action Adventure",8.8,"ALTO","MEDIO",1.7,1.7,1
"Guacamelee! Super Turbo Championship Edition","Xbox One",88,7,7,195,2014-07-02,"Action/Platformer/2D","Action",8.8,"ALTO","MEDIO",1.8,1.8,0
"Ori and the Blind Forest","Xbox One",88,73,8.6,990,2015-03-11,"Action/Platformer/2D","Action",8.8,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Apex Legends","Xbox One",88,10,6.8,269,2019-02-04,"Action/Shooter/First-Person/Tactical","Action",8.8,"ALTO","MEDIO",2,2,0
"Hellblade: Senua's Sacrifice","Xbox One",88,18,7.8,492,2018-04-11,"Action Adventure/General","Action Adventure",8.8,"ALTO","ALTO",1,1,0
